company,"Specific Bean Origin or Bar Name",REF,grading_year,"Cocoa Percent","Company Location",flavor_rating,"Bean Type",country_of_origin,Flavor Rating (1-10)
A. Morin,Agua Grande,1876,2016,63%,France,3.75, ,Sao Tome,7.5
A. Morin,Kpime,1676,2015,70%,France,2.75, ,Togo,5.5
A. Morin,Atsane,1676,2015,70%,France,3.00, ,Togo,6
A. Morin,Akata,1680,2015,70%,France,3.50, ,Togo,7
A. Morin,Quilla,1704,2015,70%,France,3.50, ,Peru,7
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela,5.5
A. Morin,Cuba,1315,2014,70%,France,3.50, ,Cuba,7
A. Morin,Sur del Lago,1315,2014,70%,France,3.50,Criollo,Venezuela,7
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela,7.5
A. Morin,Pablino,1319,2014,70%,France,4.00, ,Peru,8
A. Morin,Panama,1011,2013,70%,France,2.75, ,Panama,5.5
A. Morin,Madagascar,1011,2013,70%,France,3.00,Criollo,Madagascar,6
A. Morin,Brazil,1011,2013,70%,France,3.25, ,Brazil,6.5
A. Morin,Equateur,1011,2013,70%,France,3.75, ,Ecuador,7.5
A. Morin,Colombie,1015,2013,70%,France,2.75, ,Colombia,5.5
A. Morin,Birmanie,1015,2013,70%,France,3.00, ,Burma,6
A. Morin,Papua New Guinea,1015,2013,70%,France,3.25, ,Papua New Guinea,6.5
A. Morin,Chuao,1015,2013,70%,France,4.00,Trinitario,Venezuela,8
A. Morin,Piura,1019,2013,70%,France,3.25, ,Peru,6.5
A. Morin,Chanchamayo Province,1019,2013,70%,France,3.50, ,Peru,7
A. Morin,Chanchamayo Province,1019,2013,63%,France,4.00, ,Peru,8
A. Morin,Bolivia,797,2012,70%,France,3.50, ,Bolivia,7
A. Morin,Peru,797,2012,63%,France,3.75, ,Peru,7.5
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru,7.5
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru,7.5
Adi,Vanua Levu,705,2011,60%,Fiji,2.75,Trinitario,Fiji,5.5
Adi,"Vanua Levu, Toto-A",705,2011,80%,Fiji,3.25,Trinitario,Fiji,6.5
Adi,Vanua Levu,705,2011,88%,Fiji,3.50,Trinitario,Fiji,7
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72%,Fiji,3.50,Trinitario,Fiji,7
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55%,Ecuador,2.75,Forastero (Arriba),Ecuador,5.5
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70%,Ecuador,3.00,Forastero (Arriba),Ecuador,6
Ah Cacao,Tabasco,316,2009,70%,Mexico,3.00,Criollo,Mexico,6
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75%,Switzerland,3.75,Trinitario,Indonesia,7.5
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar,5.5
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75%,Switzerland,2.75,Forastero,Brazil,5.5
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad,5.5
Alain Ducasse,Vietnam,1215,2014,75%,France,2.75,Trinitario,Vietnam,5.5
Alain Ducasse,Madagascar,1215,2014,75%,France,3.00,Trinitario,Madagascar,6
Alain Ducasse,Chuao,1061,2013,75%,France,2.50,Trinitario,Venezuela,5
Alain Ducasse,"Piura, Perou",1173,2013,75%,France,2.50, ,Peru,5
Alexandre,"Winak Coop, Napo",1944,2017,70%,Netherlands,3.50,Forastero (Nacional),Ecuador,7
Alexandre,"La Dalia, Matagalpa",1944,2017,70%,Netherlands,3.50,"Criollo, Trinitario",Nicaragua,7
Alexandre,Tien Giang,1944,2017,70%,Netherlands,3.50,Trinitario,Vietnam,7
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.50,Forastero,Tanzania,7
Altus aka Cao Artisan,Momotombo,1728,2016,60%,U.S.A.,2.75, ,Nicaragua,5.5
Altus aka Cao Artisan,Acopagro,1728,2016,60%,U.S.A.,3.00, ,Peru,6
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60%,U.S.A.,2.50, ,Bolivia,5
Altus aka Cao Artisan,Villa Andina,1732,2016,60%,U.S.A.,2.50, ,Peru,5
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60%,U.S.A.,2.75, ,Ecuador,5.5
Altus aka Cao Artisan,Sur del Lago,1125,2013,60%,U.S.A.,2.50, ,Venezuela,5
Altus aka Cao Artisan,Conacado,1125,2013,60%,U.S.A.,3.00,Trinitario,Dominican Republic,6
Altus aka Cao Artisan,Bolivia,1129,2013,80%,U.S.A.,3.25, ,Bolivia,6.5
Altus aka Cao Artisan,Bolivia,1133,2013,60%,U.S.A.,3.00, ,Bolivia,6
Altus aka Cao Artisan,Peru,1133,2013,60%,U.S.A.,3.25, ,Peru,6.5
Amano,Morobe,725,2011,70%,U.S.A.,4.00, ,Papua New Guinea,8
Amano,Dos Rios,470,2010,70%,U.S.A.,3.75, ,Dominican Republic,7.5
Amano,Guayas,470,2010,70%,U.S.A.,4.00, ,Ecuador,8
Amano,Chuao,544,2010,70%,U.S.A.,3.00,Trinitario,Venezuela,6
Amano,Montanya,363,2009,70%,U.S.A.,3.00, ,Venezuela,6
Amano,"Bali, Jembrana",304,2008,70%,U.S.A.,2.75, ,Indonesia,5.5
Amano,Madagascar,129,2007,70%,U.S.A.,3.50,Trinitario,Madagascar,7
Amano,Cuyagua,147,2007,70%,U.S.A.,3.00, ,Venezuela,6
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela,7.5
Amatller (Simon Coll),Ghana,322,2009,70%,Spain,3.00,Forastero,Ghana,6
Amatller (Simon Coll),Ecuador,327,2009,70%,Spain,2.75, ,Ecuador,5.5
Amatller (Simon Coll),Ecuador,464,2009,85%,Spain,2.75, ,Ecuador,5.5
Amatller (Simon Coll),Ghana,464,2009,85%,Spain,3.00,Forastero,Ghana,6
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25, ,Peru,6.5
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.50,Trinitario,Peru,7
Ambrosia,Belize,1494,2015,64%,Canada,3.00,Trinitario,Belize,6
Ambrosia,Madagascar,1494,2015,66%,Canada,3.25,Trinitario,Madagascar,6.5
Ambrosia,Dominican Republic,1498,2015,75%,Canada,3.25, ,Dominican Republic,6.5
Ambrosia,Papua New Guinea,1498,2015,63%,Canada,3.25, ,Papua New Guinea,6.5
Ambrosia,Venezuela,1498,2015,70%,Canada,3.25, ,Venezuela,6.5
Ambrosia,Peru,1498,2015,68%,Canada,3.50, ,Peru,7
Amedei,"Piura, Blanco de Criollo",979,2012,70%,Italy,3.75, ,Peru,7.5
Amedei,Porcelana,111,2007,70%,Italy,4.00,Criollo (Porcelana),Venezuela,8
Amedei,Nine,111,2007,75%,Italy,4.00,Blend, ,8
Amedei,Chuao,111,2007,70%,Italy,5.00,Trinitario,Venezuela,10
Amedei,Ecuador,123,2007,70%,Italy,3.00,Trinitario,Ecuador,6
Amedei,Jamaica,123,2007,70%,Italy,3.00,Trinitario,Jamaica,6
Amedei,Grenada,123,2007,70%,Italy,3.50,Trinitario,Grenada,7
Amedei,Venezuela,123,2007,70%,Italy,3.75,Trinitario (85% Criollo),Venezuela,7.5
Amedei,Madagascar,123,2007,70%,Italy,4.00,Trinitario (85% Criollo),Madagascar,8
Amedei,Trinidad,129,2007,70%,Italy,3.50,Trinitario,Trinidad,7
