"company","country_of_origin","flavor_rating","grading_year"
"A. Morin","Sao Tome","3.75",2016
"A. Morin","Togo","2.75",2015
"A. Morin","Togo","3.0",2015
"A. Morin","Togo","3.5",2015
"A. Morin","Peru","3.5",2015
"A. Morin","Venezuela","2.75",2014
"A. Morin","Cuba","3.5",2014
"A. Morin","Venezuela","3.5",2014
"A. Morin","Venezuela","3.75",2014
"A. Morin","Peru","4.0",2014
"A. Morin","Panama","2.75",2013
"A. Morin","Madagascar","3.0",2013
"A. Morin","Brazil","3.25",2013
"A. Morin","Ecuador","3.75",2013
"A. Morin","Colombia","2.75",2013
"A. Morin","Burma","3.0",2013
"A. Morin","Papua New Guinea","3.25",2013
"A. Morin","Venezuela","4.0",2013
"A. Morin","Peru","3.25",2013
"A. Morin","Peru","3.5",2013
"A. Morin","Peru","4.0",2013
"A. Morin","Bolivia","3.5",2012
"A. Morin","Peru","3.75",2012
"Acalli","Peru","3.75",2015
"Acalli","Peru","3.75",2015
"Adi","Fiji","2.75",2011
"Adi","Fiji","3.25",2011
"Adi","Fiji","3.5",2011
"Adi","Fiji","3.5",2011
"Aequare (Gianduja)","Ecuador","2.75",2009
"Aequare (Gianduja)","Ecuador","3.0",2009
"Ah Cacao","Mexico","3.0",2009
"Akesson's (Pralus)","Indonesia","3.75",2011
"Akesson's (Pralus)","Madagascar","2.75",2010
"Akesson's (Pralus)","Brazil","2.75",2010
"Alain Ducasse","Trinidad","2.75",2014
"Alain Ducasse","Vietnam","2.75",2014
"Alain Ducasse","Madagascar","3.0",2014
"Alain Ducasse","Venezuela","2.5",2013
"Alain Ducasse","Peru","2.5",2013
"Alexandre","Ecuador","3.5",2017
"Alexandre","Nicaragua","3.5",2017
"Alexandre","Vietnam","3.5",2017
"Alexandre","Tanzania","3.5",2017
"Altus aka Cao Artisan","Nicaragua","2.75",2016
"Altus aka Cao Artisan","Peru","3.0",2016
"Altus aka Cao Artisan","Bolivia","2.5",2016
"Altus aka Cao Artisan","Peru","2.5",2016
"Altus aka Cao Artisan","Ecuador","2.75",2016
"Altus aka Cao Artisan","Venezuela","2.5",2013
"Altus aka Cao Artisan","Dominican Republic","3.0",2013
"Altus aka Cao Artisan","Bolivia","3.25",2013
"Altus aka Cao Artisan","Bolivia","3.0",2013
"Altus aka Cao Artisan","Peru","3.25",2013
"Amano","Papua New Guinea","4.0",2011
"Amano","Dominican Republic","3.75",2010
"Amano","Ecuador","4.0",2010
"Amano","Venezuela","3.0",2010
"Amano","Venezuela","3.0",2009
"Amano","Indonesia","2.75",2008
"Amano","Madagascar","3.5",2007
"Amano","Venezuela","3.0",2007
"Amano","Venezuela","3.75",2007
"Amatller (Simon Coll)","Ghana","3.0",2009
"Amatller (Simon Coll)","Ecuador","2.75",2009
"Amatller (Simon Coll)","Ecuador","2.75",2009
"Amatller (Simon Coll)","Ghana","3.0",2009
"Amazona","Peru","3.25",2013
"Amazona","Peru","3.5",2013
"Ambrosia","Belize","3.0",2015
"Ambrosia","Madagascar","3.25",2015
"Ambrosia","Dominican Republic","3.25",2015
"Ambrosia","Papua New Guinea","3.25",2015
"Ambrosia","Venezuela","3.25",2015
"Ambrosia","Peru","3.5",2015
"Amedei","Peru","3.75",2012
"Amedei","Venezuela","4.0",2007
"Amedei"," ","4.0",2007
"Amedei","Venezuela","5.0",2007
"Amedei","Ecuador","3.0",2007
"Amedei","Jamaica","3.0",2007
"Amedei","Grenada","3.5",2007
"Amedei","Venezuela","3.75",2007
"Amedei","Madagascar","4.0",2007
"Amedei","Trinidad","3.5",2007
"Amedei"," ","3.5",2007
"Amedei"," ","5.0",2006
"Amedei"," ","4.0",2006
"AMMA","Brazil","3.25",2013
"AMMA","Brazil","2.75",2010
"AMMA","Brazil","3.75",2010
"AMMA","Brazil","3.75",2010
"AMMA","Brazil","4.0",2010
"Anahata","Dominican Republic","3.0",2014
"Animas","Bolivia","3.5",2016
"Ara","Madagascar","3.0",2014
"Ara","Mexico","2.5",2014
"Ara","Ecuador","2.75",2014
"Ara","Venezuela","3.0",2014
"Arete","Trinidad","3.5",2016
"Arete","Tanzania","3.75",2016
"Arete","Vietnam","3.5",2016
"Arete","Ecuador","3.25",2016
"Arete","Ecuador","3.25",2016
"Arete","Guatemala","3.5",2016
"Arete","Nicaragua","3.75",2016
"Arete","Honduras","3.5",2016
